1,CODE001,area,PUP
2,CODE002,area,PUP
3,CODE003,area,PUP
4,CODE004,area,PUP
5,CODE005,area,PUP
6,CODE006,area,PUP
7,CODE007,area,PUP
8,CODE008,area,PUP
9,CODE009,area,PUP
10,CODE010,area,PUP
11,CODE011,area,PUP
12,CODE012,area,PUP
13,CODE013,area,PUP
14,CODE014,area,PUP
15,CODE015,area,PUP
16,CODE016,area,PUP
17,CODE017,area,PUP
18,CODE018,area,PUP
19,CODE019,area,PUP
20,CODE020,area,PUP
21,CODE021,area,PUP
22,CODE022,area,PUP
23,CODE023,area,PUP
24,CODE024,area,PUP
25,CODE025,area,PUP
26,CODE026,area,PUP
27,CODE027,area,PUP
28,CODE028,area,PUP
29,CODE029,area,PUP
30,CODE030,area,PUP
31,CODE031,area,PUP
32,CODE032,area,PUP
33,CODE033,area,PUP
34,CODE034,area,PUP
35,CODE035,area,PUP
36,CODE036,area,PUP
37,CODE037,area,PUP
38,CODE038,area,PUP
39,CODE039,area,PUP
40,CODE040,area,PUP
41,CODE041,area,PUP
42,CODE042,area,PUP
43,CODE043,area,PUP
44,CODE044,area,PUP
45,CODE045,area,PUP
46,CODE046,area,PUP
47,CODE047,area,PUP
48,CODE048,area,PUP
49,CODE049,area,PUP
50,CODE050,area,PUP
51,CODE051,area,PUP
52,CODE052,area,PUP
53,CODE053,area,PUP
54,CODE054,area,PUP
55,CODE055,area,PUP
56,CODE056,area,PUP
57,CODE057,area,PUP
58,CODE058,area,PUP
59,CODE059,area,PUP
60,CODE060,area,PUP
61,CODE061,area,PUP
62,CODE062,area,PUP
63,CODE063,area,PUP
64,CODE064,area,PUP
65,CODE065,area,PUP
66,CODE066,area,PUP
67,CODE067,area,PUP
68,CODE068,area,PUP
69,CODE069,area,PUP
70,CODE070,area,PUP
71,CODE071,area,PUP
72,CODE072,area,PUP
73,CODE073,area,PUP
74,CODE074,area,PUP
75,CODE075,area,PUP
76,CODE076,area,PUP
77,CODE077,area,PUP
78,CODE078,area,PUP
79,CODE079,area,PUP
80,CODE080,area,PUP
81,CODE081,area,PUP
82,CODE082,area,PUP
83,CODE083,area,PUP
84,CODE084,area,PUP
85,CODE085,area,PUP
86,CODE086,area,PUP
87,CODE087,area,PUP
88,CODE088,area,PUP
89,CODE089,area,PUP
90,CODE090,area,PUP
91,CODE091,area,PUP
92,CODE092,area,PUP
93,CODE093,area,PUP
94,CODE094,area,PUP
95,CODE095,area,PUP
96,CODE096,area,PUP
97,CODE097,area,PUP
98,CODE098,area,PUP
99,CODE099,area,PUP
100,CODE100,area,PUP
101,CODE101,area,PUP
102,CODE102,area,PUP
103,CODE103,area,PUP
104,CODE104,area,PUP
105,CODE105,area,PUP
106,CODE106,area,PUP
107,CODE107,area,PUP
108,CODE108,area,PUP
109,CODE109,area,PUP
110,CODE110,area,PUP
111,CODE111,area,PUP
112,CODE112,area,PUP
113,CODE113,area,PUP
114,CODE114,area,PUP
